 
2016-10-12, 07:27:10, Offset ,Code , 31 ,Info , off:2 x=-1.64 n=-1.94 p=-1.34 P1=-767.38 P2=783.11 
2016-10-12, 07:27:10, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:54.04 
2016-10-12, 07:28:08, Offset ,Code , 31 ,Info , off:3 x=-1.65 n=-1.74 p=-1.55 P1=-767.58 P2=783.33 
2016-10-12, 07:28:09, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:58.76 
2016-10-12, 07:29:06, Offset ,Code , 31 ,Info , off:4 x=-0.99 n=-1.77 p=-0.20 P1=-767.54 P2=781.97 
2016-10-12, 07:29:07, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:57.61 
2016-10-12, 07:40:04, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:657.78 
2016-10-12, 07:43:49, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.20 
2016-10-12, 07:47:33, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.22 
2016-10-12, 07:51:17, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.26 
2016-10-12, 07:53:55, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:157.92 
2016-10-12, 07:56:04, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.98 
2016-10-12, 07:58:13, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.82 
2016-10-12, 08:00:22, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.85 
2016-10-12, 08:01:22, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.93 
2016-10-12, 08:01:52, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.43 
2016-10-12, 08:02:17, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.42 
2016-10-12, 08:02:37, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.68 
2016-10-12, 08:03:19, Offset ,Code , 31 ,Info , off:1 x=-1.10 n=-1.74 p=-0.46 P1=-767.58 P2=782.23 
2016-10-12, 08:03:19, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:42.77 
2016-10-12, 08:04:05, Offset ,Code , 31 ,Info , off:2 x=-1.12 n=-1.98 p=-0.26 P1=-767.33 P2=782.04 
2016-10-12, 08:04:06, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:46.55 
2016-10-12, 08:04:57, Offset ,Code , 31 ,Info , off:3 x=-0.16 n=-1.69 p=1.37 P1=-767.62 P2=780.40 
2016-10-12, 08:04:58, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:52.24 
2016-10-12, 08:06:04, Offset ,Code , 31 ,Info , off:4 x=-4.52 n=-5.64 p=-3.39 P1=-763.68 P2=785.17 
2016-10-12, 08:06:05, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:66.60 
2016-10-12, 08:10:48, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:282.87 
2016-10-12, 08:14:32, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.16 
2016-10-12, 08:18:16, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.25 
2016-10-12, 08:22:00, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.26 
2016-10-12, 08:24:42, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:161.85 
2016-10-12, 08:26:51, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.90 
2016-10-12, 08:29:00, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.89 
2016-10-12, 08:31:09, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.81 
2016-10-12, 08:32:08, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.35 
2016-10-12, 08:32:38, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.01 
2016-10-12, 08:33:03, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.93 
2016-10-12, 08:33:23, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.46 
2016-10-12, 08:34:14, Offset ,Code , 31 ,Info , off:1 x=-2.66 n=-3.66 p=-1.65 P1=-765.65 P2=783.42 
2016-10-12, 08:34:15, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:51.66 
2016-10-12, 08:35:08, Offset ,Code , 31 ,Info , off:2 x=-3.75 n=-3.94 p=-3.56 P1=-765.37 P2=785.34 
2016-10-12, 08:35:09, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:54.35 
2016-10-12, 08:36:08, Offset ,Code , 31 ,Info , off:3 x=-2.53 n=-3.73 p=-1.33 P1=-765.58 P2=783.10 
2016-10-12, 08:36:09, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:59.97 
2016-10-12, 08:37:06, Offset ,Code , 31 ,Info , off:4 x=-1.09 n=-1.65 p=-0.53 P1=-767.66 P2=782.31 
2016-10-12, 08:37:07, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:57.74 
2016-10-12, 08:41:56, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:288.92 
2016-10-12, 08:45:40, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.21 
2016-10-12, 08:49:24, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.18 
2016-10-12, 08:53:08, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.28 
2016-10-12, 08:55:51, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:162.87 
2016-10-12, 08:58:00, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.75 
2016-10-12, 09:00:09, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.80 
2016-10-12, 09:02:18, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.76 
2016-10-12, 09:03:18, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.93 
2016-10-12, 09:03:48, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.40 
2016-10-12, 09:04:13, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.44 
2016-10-12, 09:04:32, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.73 
2016-10-12, 09:05:15, Offset ,Code , 31 ,Info , off:1 x=-1.27 n=-2.03 p=-0.51 P1=-767.28 P2=782.28 
2016-10-12, 09:05:15, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:42.93 
2016-10-12, 09:06:01, Offset ,Code , 31 ,Info , off:2 x=-1.05 n=-1.58 p=-0.52 P1=-767.73 P2=782.30 
2016-10-12, 09:06:02, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:46.74 
2016-10-12, 09:06:54, Offset ,Code , 31 ,Info , off:3 x=-0.21 n=-1.85 p=1.43 P1=-767.46 P2=780.35 
2016-10-12, 09:06:54, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:52.42 
2016-10-12, 09:08:01, Offset ,Code , 31 ,Info , off:4 x=-4.50 n=-5.64 p=-3.35 P1=-763.67 P2=785.12 
2016-10-12, 09:08:01, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:66.85 
2016-10-12, 09:12:51, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:289.90 
2016-10-12, 09:16:35, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.21 
2016-10-12, 09:20:20, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.26 
2016-10-12, 09:24:04, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.20 
2016-10-12, 09:26:43, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:158.90 
2016-10-12, 09:28:52, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.84 
2016-10-12, 09:31:01, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.90 
2016-10-12, 09:33:10, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.83 
2016-10-12, 09:34:09, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.32 
2016-10-12, 09:34:39, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:29.99 
2016-10-12, 09:35:04, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.98 
2016-10-12, 09:35:23, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.26 
2016-10-12, 09:36:15, Offset ,Code , 31 ,Info , off:1 x=-4.53 n=-5.67 p=-3.39 P1=-763.65 P2=785.16 
2016-10-12, 09:36:15, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:51.92 
2016-10-12, 09:37:10, Offset ,Code , 31 ,Info , off:2 x=-4.76 n=-5.97 p=-3.55 P1=-763.35 P2=785.32 
2016-10-12, 09:37:11, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:55.58 
2016-10-12, 09:38:10, Offset ,Code , 31 ,Info , off:3 x=-2.60 n=-3.85 p=-1.34 P1=-765.47 P2=783.12 
2016-10-12, 09:38:11, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:60.24 
2016-10-12, 09:39:17, Offset ,Code , 31 ,Info , off:4 x=-2.49 n=-3.64 p=-1.34 P1=-765.67 P2=783.12 
2016-10-12, 09:39:18, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:66.98 
2016-10-12, 09:44:04, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:285.96 
2016-10-12, 09:47:48, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.20 
2016-10-12, 09:51:32, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.20 
2016-10-12, 09:55:17, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.31 
2016-10-12, 09:58:00, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:162.71 
2016-10-12, 10:00:08, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.80 
2016-10-12, 10:02:17, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.86 
2016-10-12, 10:04:26, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.94 
2016-10-12, 10:05:26, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:59.86 
2016-10-12, 10:05:57, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.42 
2016-10-12, 10:06:21, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.44 
2016-10-12, 10:06:41, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.73 
2016-10-12, 10:07:32, Offset ,Code , 31 ,Info , off:1 x=-2.66 n=-3.67 p=-1.66 P1=-765.65 P2=783.43 
2016-10-12, 10:07:33, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:52.17 
2016-10-12, 10:08:28, Offset ,Code , 31 ,Info , off:2 x=-2.61 n=-3.56 p=-1.66 P1=-765.76 P2=783.43 
2016-10-12, 10:08:29, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:55.83 
2016-10-12, 10:08:42, mBuffer ,Code , 8 ,Info , Buffer:1 leeg (rDecr) 
2016-10-12, 10:09:21, Offset ,Code , 31 ,Info , off:3 x=-2.02 n=-3.73 p=-0.32 P1=-765.59 P2=782.09 
2016-10-12, 10:09:21, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:52.56 
2016-10-12, 10:10:42, Offset ,Code , 31 ,Info , off:4 x=-3.47 n=-3.64 p=-3.29 P1=-765.67 P2=785.07 
2016-10-12, 10:10:42, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:2 |Time:81.04 
2016-10-12, 10:15:29, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:286.89 
2016-10-12, 10:19:14, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.19 
2016-10-12, 10:22:58, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.21 
2016-10-12, 10:25:37, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:158.96 
2016-10-12, 10:27:46, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.99 
2016-10-12, 10:29:55, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.92 
2016-10-12, 10:30:56, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:61.29 
2016-10-12, 10:31:20, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:24.08 
2016-10-12, 10:38:37, Main ,Code , 18 ,Info , PP to main 
